"purchase_date","salesbyday"
2018-03-01,46741.95
2018-03-02,38315.22
2018-03-03,31172.64
2018-03-04,36923.73
2018-03-05,45864.38
2018-03-06,46372.56
2018-03-07,42266.22
2018-03-08,35109.31
2018-03-09,33573.59
2018-03-10,30935.6
2018-03-11,37655.72
2018-03-12,37260.15
2018-03-13,41429.29
2018-03-14,28169.38
2018-03-15,49534.41
2018-03-16,41684.1
2018-03-17,26594.55
2018-03-18,37044.97
2018-03-19,53827.14
2018-03-20,44344.33
2018-03-21,47530.04
2018-03-22,38391.06
2018-03-23,34678.11
2018-03-24,29841.91
2018-03-25,34487.4
2018-03-26,43057.56
2018-03-27,43293.46
2018-03-28,32170.73
2018-03-29,34260.38
2018-03-30,27227.83
2018-03-31,30209.94
2018-04-01,34873.2
2018-04-02,50028.99
2018-04-03,42846.88
2018-04-04,46333.73
2018-04-05,43085.84
2018-04-06,33503.32
2018-04-07,29481.13
2018-04-08,29576.18
2018-04-09,55960.27
2018-04-10,32579.81
2018-04-11,46759.96
2018-04-12,42333.1
2018-04-13,37565.95
2018-04-14,25939.79
2018-04-15,38452.69
2018-04-16,49871.53
2018-04-17,45890.17
2018-04-18,45991.73
2018-04-19,52390.78
2018-04-20,35836.58
2018-04-21,23213.71
2018-04-22,35185.46
2018-04-23,47078.39
2018-04-24,53105.59
2018-04-25,49512.06
2018-04-26,40427.36
2018-04-27,47041.03
2018-04-28,28817.92
2018-04-29,25825.56
2018-04-30,44057.7
2018-05-01,39177.54
2018-05-02,45164.23
2018-05-03,52119.07
2018-05-04,47264.61
2018-05-05,34696.05
2018-05-06,33345.16
2018-05-07,63012.6
2018-05-08,57677.02
2018-05-09,52356.07
2018-05-10,59701.61
2018-05-11,44017.17
2018-05-12,38460.28
2018-05-13,38359.77
2018-05-14,64537.85
2018-05-15,55916.22
2018-05-16,68018.48
2018-05-17,35514.6
2018-05-18,38949.56
2018-05-19,29826.53
2018-05-20,24709.35
2018-05-21,31427.79
2018-05-22,45966.25
2018-05-23,21948.12
2018-05-24,22337.35
2018-05-25,19040.64
2018-05-26,19222.96
2018-05-27,15418.2
2018-05-28,34136.78
2018-05-29,31477.76
2018-05-30,22388.56
2018-05-31,32537.35
2018-06-01,41416.25
2018-06-02,29922.72
2018-06-03,34323.41
2018-06-04,35585.39
2018-06-05,39745.98
2018-06-06,33977.17
2018-06-07,45415.2
2018-06-08,32612.79
2018-06-09,37566.32
2018-06-10,31224.41
2018-06-11,60141.62
2018-06-12,48583.37
2018-06-13,43370.16
2018-06-14,35064.36
2018-06-15,32748.84
2018-06-16,29785.4
2018-06-17,22174.33
2018-06-18,40745.99
2018-06-19,40910.03
2018-06-20,35553.82
2018-06-21,34206.73
2018-06-22,29073.38
2018-06-23,22988.33
2018-06-24,31167.22
2018-06-25,42493.37
2018-06-26,42119.58
2018-06-27,33101.77
2018-06-28,40655.83
2018-06-29,25560.39
2018-06-30,20078.21
2018-07-01,29961.48
2018-07-02,30022.16
2018-07-03,32780.16
2018-07-04,43872.34
2018-07-05,36938.48
2018-07-06,22957.3
2018-07-07,11593.13
2018-07-08,18764.37
2018-07-09,23323.2
2018-07-10,23198.21
2018-07-11,22953.93
2018-07-12,22920.81
2018-07-13,35283.81
2018-07-14,26111.58
2018-07-15,34702.84
2018-07-16,36641.03
2018-07-17,35322.15
2018-07-18,48686.15
2018-07-19,46202.64
2018-07-20,39876.97
2018-07-21,27130.51
2018-07-22,36824.53
2018-07-23,52282.66
2018-07-24,48771.51
2018-07-25,51339.37
2018-07-26,42029.35
2018-07-27,36196.63
2018-07-28,31983.87
2018-07-29,35662.73
2018-07-30,46396.23
2018-07-31,54452.41
2018-08-01,51151.44
2018-08-02,48512.37
2018-08-03,52862.41
2018-08-04,43468.26
2018-08-05,45309.62
2018-08-06,76453.96
2018-08-07,60516.51
2018-08-08,52599.53
2018-08-09,49600.09
2018-08-10,40439.54
2018-08-11,32451.44
2018-08-12,43548.04
2018-08-13,49203.7
2018-08-14,53967.29
2018-08-15,53926.69
2018-08-16,45334.02
2018-08-17,40403.2
2018-08-18,28974.29
2018-08-19,31464.86
2018-08-20,41903.48
2018-08-21,32531.35
2018-08-22,25896.65
2018-08-23,21473.94
2018-08-24,13195.18
2018-08-25,12456.67
2018-08-26,9726.75
2018-08-27,6292.59
2018-08-28,4260.66
2018-08-29,1762.7
